page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/us-mobile,7.3,Telecommunications,2014,65
https://www.inc.com/profile/feedonomics,7.4,Advertising & Marketing,2014,85
https://www.inc.com/profile/amenity-health,15.3,Health,2011,16
https://www.inc.com/profile/payability,13.7,Financial Services,2014,54
https://www.inc.com/profile/eagle-transport-and-logistics,4.8,Logistics & Transportation,2014,35
https://www.inc.com/profile/shipbob,34.2,Logistics & Transportation,2014,450
https://www.inc.com/profile/powerhome-solar,102.9,Construction,2015,585
https://www.inc.com/profile/lendingone,13.9,Financial Services,2014,50
https://www.inc.com/profile/ownbackup,9,Software,2015,86
https://www.inc.com/profile/invictus-international-consulting,33,Government Services,2014,151
https://www.inc.com/profile/go-energistics,14.4,Construction,2011,46
https://www.inc.com/profile/total-expert,11.1,Software,2014,180
https://www.inc.com/profile/buzzybooth,3.5,Business Products & Services,2015,18
https://www.inc.com/profile/carolin-soldo-coaching-events,3.9,Business Products & Services,2015,NA
https://www.inc.com/profile/cognira,7.6,Software,2015,50
https://www.inc.com/profile/b3-group,59.3,Government Services,2008,145
https://www.inc.com/profile/inspiranza-designs,4.7,Retail,2005,10
https://www.inc.com/profile/onesourcepcs,7.8,Government Services,2002,52
https://www.inc.com/profile/cience-technologies,3.8,Advertising & Marketing,2015,310
https://www.inc.com/profile/restore-hyper-wellness,5.1,Health,2015,15
https://www.inc.com/profile/sweet-lorens,6.4,Food & Beverage,2010,5
https://www.inc.com/profile/copper,19,Software,2013,191
https://www.inc.com/profile/5-star-roofing-and-restoration,3.3,Construction,2015,40
https://www.inc.com/profile/digitalcrafts,3.1,Education,2015,30
https://www.inc.com/profile/loadup-technologies,3.7,Logistics & Transportation,2014,15
https://www.inc.com/profile/skillset-group,23.6,Human Resources,2013,740
https://www.inc.com/profile/ally-logistics,25.8,Logistics & Transportation,2012,37
https://www.inc.com/profile/bamfi,12.3,Financial Services,2012,66
https://www.inc.com/profile/potoo,6.6,Business Products & Services,2014,60
https://www.inc.com/profile/parsons-xtreme-golf,79,Consumer Products & Services,2014,196
https://www.inc.com/profile/onfleet,3.5,Logistics & Transportation,2012,19
https://www.inc.com/profile/patientpop,38.8,Health,2014,375
https://www.inc.com/profile/gravity-resources,4.7,Business Products & Services,2015,25
https://www.inc.com/profile/medlab-international,3.2,Health,2015,8
https://www.inc.com/profile/equity-help,3.2,Business Products & Services,2014,20
https://www.inc.com/profile/ridgeline-international,30,Telecommunications,2015,125
