page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/phdata,9.8,IT Management,2014,86,phdata.io,9.8 M,5638%,NA,83.03%,Secure,48
https://www.inc.com/profile/mdstaffers,7.1,Health,2010,22,mdstaffers.com,7.1 M,5634%,NA,42.99%,Not Secure,49
https://www.inc.com/profile/talex,48.5,Human Resources,2012,500,teamtalex.com,48.5 M,5484%,NA,NA,Not Secure,50
https://www.inc.com/profile/nationwide-mortgage-bankers,25,Financial Services,2011,400,nmbhome.com,25 M,5450%,NA,18.28%,Secure,51
https://www.inc.com/profile/podium,42.5,Software,2014,430,podium.com,2.5 M,5417%,1730000,17.12%,Secure,52
https://www.inc.com/profile/sia-solutions,23.9,Environmental Services,2012,60,siasolutions.com,23.9 M,5060%,NA,57.29%,Secure,53
https://www.inc.com/profile/qeo-group,58.8,Insurance,2014,87,qeo.com,58.8 M,4978%,NA,56.87%,Not Secure,54
https://www.inc.com/profile/dropified,5.1,Business Products & Services,2015,30,dropified.com,5.1 M,4971%,606210,20.61%,Secure,55
https://www.inc.com/profile/sparx-hockey,8,Consumer Products & Services,2014,25,sparxhockey.com,8 M,4916%,NA,46.40%,Secure,56
https://www.inc.com/profile/truechoicepack,7.8,Consumer Products & Services,2013,7,truechoicepack.com,7.8 M,4908%,NA,97.03%,Secure,57
https://www.inc.com/profile/ashh-dba-ooze-wholesale,25.9,Consumer Products & Services,2015,30,oozewholesale.com,25.9 M,4899%,NA,41.22%,Secure,58
https://www.inc.com/profile/progyny,107.6,Health,2008,116,progyny.com,107.6 M,4838%,NA,14.90%,Secure,59
https://www.inc.com/profile/pax8,42.4,Software,2012,254,pax8.com,42.4 M,4820%,66320,17.64%,Secure,60
https://www.inc.com/profile/terminus,21.5,Software,2014,162,terminus.com,21.5 M,4730%,50590,61.13%,Secure,61
https://www.inc.com/profile/chomps,21,Food & Beverage,2012,8,chomps.com,21 M,4469%,118880,69.88%,Secure,62
https://www.inc.com/profile/rad-power-bikes,44.6,Manufacturing,2007,"$180,000",radpowerbikes.com,44.6 M,4442%,771660,39.27%,Secure,63
https://www.inc.com/profile/tradepending,5.8,Software,2014,28,tradepending.com,5.8 M,4430%,59830,13.62%,Secure,64
https://www.inc.com/profile/west-creek-financial,89.7,Financial Services,2014,158,westcreekfin.com,89.7 M,4405%,257620,11.69%,Secure,65
https://www.inc.com/profile/citylift-parking,10.7,Construction,2015,40,cityliftparking.com,10.7 M,4402%,NA,90.32%,Secure,66
https://www.inc.com/profile/associated-veterans,12.8,Government Services,2007,64,associatedveterans.com,12.8 M,4346%,NA,NA,Not Secure,67
https://www.inc.com/profile/fetch-rewards,9,Software,2013,63,fetchrewards.com,9 M,4323%,226420,15.81%,Not Secure,68
